,crimerate,is_crimerate,is_hero,lat,long,name,year
99,84.23,1,0,40.6546145,-73.55941279999999,Nassau County,1976
100,1655.36,1,0,37.8043514,-122.2711639,Oakland,1976
101,626.79,1,0,35.4675602,-97.5164276,Oklahoma City,1976
102,516.74,1,0,41.2565369,-95.9345034,Omaha,1976
103,516.74,1,0,41.4925374,-99.9018131,NE,1976
104,956.8,1,0,28.5383355,-81.3792365,Orlando,1976
105,684.16,1,0,41.2033216,-77.1945247,PA,1976
106,669.01,1,0,38.78492110000001,-76.8720961,Prince George's County,1976
107,358.56,1,0,35.7795897,-78.6381787,Raleigh,1976
108,1073.65,1,0,38.5815719,-121.4943996,Sacramento,1976
109,546.75,1,0,40.7607793,-111.8910474,Salt Lake City,1976
110,436.22,1,0,29.4241219,-98.49362819999999,San Antonio,1976
111,452.39,1,0,37.3382082,-121.8863286,San Jose,1976
112,819.86,1,0,47.7510741,-120.7401385,WA,1976
113,1792.19,1,0,38.6270025,-90.19940419999999,St. Louis,1976
114,153.76,1,0,40.9848784,-72.61511689999999,Suffolk County,1976
115,1068.95,1,0,27.950575,-82.4571776,Tampa,1976
116,429.42,1,0,32.2226066,-110.9747108,Tucson,1976
117,222.5,1,0,36.8529263,-75.97798499999999,Virginia Beach,1976
118,1481.34,1,0,38.9071923,-77.0368707,DC,1976
119,434.38,1,0,37.68717609999999,-97.33005299999999,Wichita,1976
120,434.38,1,0,39.011902,-98.4842465,KS,1976
0,,0,1,41.8781136,-87.6297982,Black Lightning,1977
1,,0,1,40.6331249,-89.3985283,Black Lightning,1977
2,,0,1,43.744812,-79.612742,Judge Dredd,1977
3,,0,1,52.3555177,-1.1743197,Spider-Woman,1977
4,,0,1,51.5073509,-0.1277583,Spider-Woman,1977
5,1629.54,1,0,40.7127753,-74.0059728,New York City,1977
6,1724.96,1,0,33.7489954,-84.3879824,Atlanta,1977
7,1724.96,1,0,32.1656221,-82.9000751,GA,1977
8,935.37,1,0,41.8781136,-87.6297982,Chicago,1977
9,916.06,1,0,36.778261,-119.4179324,CA,1977
10,559.71,1,0,32.715738,-117.1610838,San Diego,1977
11,1209.02,1,0,34.0522342,-118.2436849,Los Angeles,1977
12,1094.91,1,0,25.7616798,-80.1917902,Miami,1977
13,1384.37,1,0,37.7749295,-122.4194155,San Francisco,1977
14,967.32,1,0,39.7392358,-104.990251,Denver,1977
15,395.79,1,0,43.0389025,-87.9064736,Milwaukee,1977
16,426.38,1,0,41.7605849,-88.32007150000001,Aurora,1977
17,1521.34,1,0,42.3600825,-71.0588801,Boston,1977
18,831.2,1,0,47.6062095,-122.3320708,Seattle,1977
19,1426.52,1,0,47.7510741,-120.7401385,Washington,1977
20,1726.05,1,0,39.2903848,-76.6121893,Baltimore,1977
21,1757.2,1,0,40.735657,-74.1723667,Newark,1977
22,475.9,1,0,37.09024,-95.712891,United States,1977
23,344.27,1,0,31.9685988,-99.9018131,TX,1977
24,975.37,1,0,36.1699412,-115.1398296,Las Vegas,1977
25,975.37,1,0,38.8026097,-116.419389,NV,1977
26,524.56,1,0,36.1539816,-95.99277500000001,Tulsa,1977
27,634.82,1,0,39.9525839,-75.1652215,Philadelphia,1977
28,1828.54,1,0,42.331427,-83.0457538,Detroit,1977
29,947.74,1,0,40.44062479999999,-79.9958864,Pittsburgh,1977
30,344.27,1,0,32.735687,-97.10806559999999,Arlington,1977
31,1011.78,1,0,29.95106579999999,-90.0715323,New Orleans,1977
32,229.92,1,0,21.3069444,-157.8583333,Honolulu,1977
33,1474.81,1,0,41.49932,-81.6943605,Cleveland,1977
34,1757.2,1,0,40.0583238,-74.4056612,NJ,1977
35,949.8,1,0,40.7127753,-74.0059728,NY,1977
36,1011.78,1,0,34.0522342,-118.2436849,LA,1977
37,629.58,1,0,33.4483771,-112.0740373,Phoenix,1977
38,1031.33,1,0,45.5051064,-122.6750261,Portland,1977
39,817.54,1,0,35.0843859,-106.650422,Albuquerque,1977
40,426.38,1,0,37.0366406,-95.6714121,CO,1977
